年齢,地域,趣味,職業,結婚,最終学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,最近の連絡日（日）,最近の連絡日（月）,通話時間（秒）,キャンペーン連絡回数,前回のキャンペーン連絡からの経過日数,キャンペーン前の連絡回数,前回キャンペーンの成果,新キャンペーンの成果
31.0,京都,料理,労務職,独身,高卒,なし,233.0,あり,なし,携帯電話,23,8月,390,2,-1,0,失敗,あり
68.0,京都,読書,退職,既婚,小卒または中卒,なし,199.0,なし,なし,携帯電話,17,2月,706,1,-1,0,不明,あり
47.0,宮城,ボランティア,管理者,独身,高卒,なし,1600.0,なし,なし,携帯電話,25,7月,386,1,-1,0,不明,なし
65.0,埼玉,ボランティア,退職,既婚,小卒または中卒,なし,3825.0,なし,なし,携帯電話,15,3月,544,7,401,0,不明,あり
30.0,京都,写真,技術者,既婚,高卒,なし,926.0,あり,なし,不明,18,6月,1014,3,-1,0,不明,あり
37.0,京都,ボランティア,労務職,独身,高卒,なし,614.0,あり,なし,携帯電話,11,2月,98,2,309,0,不明,あり
39.0,大阪,ボランティア,サービス業,独身,小卒または中卒,なし,664.0,あり,なし,不明,15,2月,647,1,-1,0,不明,なし
45.0,愛知,ギャンブル,サービス業,既婚,高卒,なし,1235.0,あり,あり,不明,29,5月,-128,15,-1,0,不明,なし
35.0,大阪,スポーツ,マネージャー,独身,大学または大学院卒,なし,606.0,なし,なし,携帯電話,3,2月,393,2,-1,0,不明,あり
22.0,兵庫,ボランティア,マネージャー,独身,大学または大学院卒,なし,275.0,なし,なし,携帯電話,16,11月,457,1,-1,0,不明,あり
29.0,京都,料理,技術者,既婚,高卒,なし,22.0,あり,なし,携帯電話,16,4月,1112,1,-1,0,不明,あり
33.0,埼玉,スポーツ,技術者,独身,大学または大学院卒,なし,3360.0,あり,なし,携帯電話,30,4月,990,1,-1,0,不明,あり
37.0,大阪,音楽,技術者,既婚,大学または大学院卒,なし,206.0,あり,なし,携帯電話,9,2月,903,3,-1,0,失敗,あり
26.0,東京,ボランティア,サービス業,既婚,高卒,なし,539.0,なし,なし,不明,4,6月,189,4,-1,0,不明,あり
40.0,大阪,ボランティア,技術者,独身,高卒,なし,625.0,あり,なし,携帯電話,23,7月,984,3,-1,0,不明,あり
55.0,愛知,ボランティア,マネージャー,既婚,大学または大学院卒,なし,1359.0,なし,なし,携帯電話,28,3月,721,1,1165,0,不明,あり
35.0,北海道,ギャンブル,労務職,既婚,高卒,なし,611.0,あり,なし,不明,8,11月,179,1,-1,0,不明,あり
38.0,北海道,投資,労務職,独身,高卒,なし,-785.0,あり,あり,不明,8,5月,458,3,-1,0,不明,なし
20.0,京都,投資,サービス業,独身,大学または大学院卒,なし,331.0,なし,なし,携帯電話,17,4月,51,1,-1,0,失敗,あり
47.0,東京,ボランティア,労務職,独身,小卒または中卒,なし,2061.0,なし,なし,携帯電話,21,11月,332,2,-1,0,その他,なし
30.0,京都,写真,管理者,既婚,大学または大学院卒,なし,652.0,なし,なし,携帯電話,25,6月,151,1,38,0,その他,あり
29.0,大阪,写真,マネージャー,独身,大学または大学院卒,なし,764.0,あり,あり,携帯電話,18,7月,1212,2,-1,0,不明,あり
58.0,東京,読書,マネージャー,独身,高卒,なし,5983.0,あり,なし,携帯電話,21,11月,193,3,120,0,不明,なし
40.0,兵庫,料理,マネージャー,既婚,高卒,なし,295.0,なし,なし,携帯電話,12,3月,2191,5,127,0,不明,あり
33.0,兵庫,写真,技術者,既婚,大学または大学院卒,なし,-115.0,なし,あり,携帯電話,18,11月,157,1,-1,0,不明,あり
30.0,北海道,ギャンブル,技術者,既婚,高卒,なし,612.0,あり,なし,携帯電話,12,5月,89,6,-1,0,不明,なし
45.0,京都,ボランティア,マネージャー,既婚,大学または大学院卒,なし,1036.0,なし,なし,不明,16,5月,82,1,324,0,不明,なし
35.0,京都,音楽,労務職,既婚,高卒,なし,630.0,あり,なし,不明,14,5月,207,1,-1,0,不明,なし
58.0,東京,読書,マネージャー,独身,高卒,なし,1081.0,なし,なし,不明,30,5月,187,1,-1,0,不明,なし
56.0,京都,ギャンブル,管理者,既婚,高卒,なし,1402.0,なし,なし,携帯電話,30,4月,1331,1,-1,0,不明,あり
78.0,京都,ギャンブル,退職,既婚,高卒,なし,729.0,なし,なし,携帯電話,22,10月,213,1,-1,0,不明,あり
33.0,宮城,投資,マネージャー,既婚,大学または大学院卒,なし,-67.0,あり,なし,携帯電話,21,8月,-63,8,-1,0,不明,あり
56.0,兵庫,写真,技術者,既婚,高卒,なし,651.0,あり,なし,不明,23,5月,641,5,-1,0,不明,あり
