年齢,地域,趣味,職業,結婚,最終学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,最近の連絡日（日）,最近の連絡日（月）,通話時間（秒）,キャンペーン連絡回数,前回のキャンペーン連絡からの経過日数,キャンペーン前の連絡回数,前回キャンペーンの成果,新キャンペーンの成果
29.0,埼玉,スポーツ,技術者,既婚,大学または大学院卒,なし,2793.0,あり,なし,携帯電話,30,4月,74.0,1,-1,0,その他,あり
40.0,大阪,音楽,技術者,独身,大学または大学院卒,なし,615.0,あり,なし,携帯電話,9,2月,57.0,3,-1,0,不明,あり
26.0,東京,ボランティア,サービス業,既婚,高卒,なし,431.0,あり,なし,不明,4,6月,48.0,4,619,0,不明,なし
40.0,大阪,写真,技術者,独身,高卒,なし,940.0,あり,なし,携帯電話,23,7月,40.0,3,-1,0,不明,あり
53.0,愛知,ボランティア,マネージャー,既婚,大学または大学院卒,なし,718.0,なし,なし,携帯電話,21,3月,116.0,1,-1,0,不明,なし
31.0,東京,音楽,労務職,既婚,高卒,なし,891.0,なし,なし,不明,18,11月,48.0,1,-1,1,不明,なし
30.0,宮城,投資,労務職,独身,高卒,なし,929.0,あり,あり,不明,8,5月,116.0,3,357,0,不明,なし
25.0,京都,投資,管理者,既婚,高卒,なし,-1213.0,なし,なし,携帯電話,17,4月,20.0,1,-1,0,不明,あり
54.0,東京,ボランティア,労務職,独身,小卒または中卒,なし,3757.0,なし,なし,携帯電話,21,11月,110.0,2,-1,0,不明,なし
44.0,京都,写真,管理者,独身,大学または大学院卒,なし,734.0,なし,なし,携帯電話,2,6月,21.0,1,165,0,不明,あり
49.0,大阪,写真,マネージャー,独身,高卒,なし,1188.0,なし,あり,携帯電話,23,7月,31.0,2,-1,0,その他,あり
34.0,東京,写真,マネージャー,既婚,高卒,なし,5493.0,あり,なし,携帯電話,21,11月,64.0,3,-1,0,失敗,なし
42.0,兵庫,料理,マネージャー,既婚,大学または大学院卒,なし,2395.0,なし,なし,携帯電話,12,3月,2330.0,5,-1,0,不明,あり
66.0,兵庫,写真,技術者,既婚,大学または大学院卒,なし,-138.0,なし,あり,携帯電話,18,11月,111.0,1,-1,0,失敗,あり
47.0,北海道,ギャンブル,技術者,既婚,大学または大学院卒,なし,492.0,あり,なし,携帯電話,12,5月,55.0,6,-1,0,不明,なし
45.0,東京,ボランティア,マネージャー,既婚,高卒,なし,816.0,なし,なし,携帯電話,16,8月,59.0,1,-1,0,失敗,なし
46.0,大阪,音楽,労務職,既婚,高卒,なし,-166.0,あり,なし,不明,14,5月,64.0,1,-1,0,不明,なし
27.0,兵庫,読書,マネージャー,既婚,大学または大学院卒,なし,-448.0,あり,なし,不明,30,5月,11.0,1,-1,0,その他,なし
69.0,京都,ギャンブル,管理者,既婚,小卒または中卒,なし,1606.0,なし,なし,携帯電話,30,4月,111.0,1,155,1,その他,あり
83.0,京都,ギャンブル,退職,独身,小卒または中卒,なし,123.0,なし,なし,携帯電話,28,10月,56.0,1,60,0,不明,あり
27.0,宮城,投資,マネージャー,既婚,大学または大学院卒,なし,-332.0,あり,なし,携帯電話,21,8月,19.0,8,-1,0,失敗,あり
48.0,兵庫,写真,技術者,独身,小卒または中卒,なし,494.0,あり,なし,不明,19,2月,66.0,5,-1,0,不明,なし
