年齢,地域,趣味,職業,結婚,最終学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,最近の連絡日（日）,最近の連絡日（月）,通話時間（秒）,キャンペーン連絡回数,前回のキャンペーン連絡からの経過日数,キャンペーン前の連絡回数,前回キャンペーンの成果,新キャンペーンの成果
49,埼玉,読書,マネージャー,既婚,大学または大学院卒,なし,6613,なし,なし,携帯電話,19,11月,106,1,155,3,失敗,なし
44,東京,ボランティア,技術者,既婚,大学または大学院卒,なし,4580,あり,なし,不明,15,5月,911,2,-1,0,不明,あり
40,埼玉,投資,失業中,独身,高卒,なし,6,なし,なし,不明,9,6月,134,3,-1,0,不明,なし
55,東京,読書,マネージャー,既婚,大学または大学院卒,なし,3848,あり,なし,携帯電話,8,4月,222,2,-1,0,不明,あり
63,京都,投資,退職,既婚,不明,なし,538,なし,なし,携帯電話,11,8月,373,2,-1,0,不明,なし
30,兵庫,音楽,自営業,既婚,大学または大学院卒,なし,1930,なし,なし,携帯電話,20,11月,80,1,-1,0,不明,なし
50,東京,ギャンブル,サービス業,既婚,高卒,なし,5,なし,あり,携帯電話,11,7月,196,2,-1,0,不明,なし
30,京都,ボランティア,サービス業,独身,大学または大学院卒,なし,1788,なし,なし,携帯電話,4,8月,288,1,181,2,失敗,あり
45,東京,スポーツ,技術者,既婚,大学または大学院卒,なし,4647,なし,なし,携帯電話,29,7月,109,3,-1,0,不明,なし
34,京都,投資,技術者,既婚,大学または大学院卒,なし,0,なし,なし,携帯電話,11,8月,68,4,-1,0,不明,なし
29,宮城,写真,技術者,既婚,大学または大学院卒,なし,-983,あり,あり,携帯電話,31,7月,58,2,-1,0,不明,なし
27,大阪,旅行,学生,独身,高卒,なし,538,なし,なし,携帯電話,18,12月,170,4,197,2,成功,あり
32,北海道,ギャンブル,技術者,既婚,高卒,なし,1,なし,あり,携帯電話,29,7月,123,6,-1,0,不明,なし
46,宮城,料理,起業家,既婚,高卒,なし,118,あり,なし,携帯電話,9,7月,296,1,-1,0,不明,なし
33,埼玉,音楽,技術者,独身,大学または大学院卒,なし,3689,なし,なし,携帯電話,27,8月,445,3,-1,0,不明,あり
37,北海道,読書,技術者,既婚,高卒,なし,275,あり,なし,不明,5,5月,132,1,-1,0,不明,なし
31,京都,音楽,管理者,独身,高卒,なし,19,あり,なし,携帯電話,18,11月,1978,1,-1,0,不明,あり
28,京都,音楽,失業中,既婚,大学または大学院卒,なし,482,なし,なし,携帯電話,25,5月,119,1,-1,0,不明,あり
39,京都,写真,サービス業,既婚,高卒,なし,52,なし,なし,固定電話,2,2月,1420,3,-1,0,不明,あり
45,宮城,スポーツ,労務職,既婚,小卒または中卒,なし,956,あり,なし,携帯電話,7,5月,643,1,-1,0,不明,なし
35,埼玉,料理,自営業,既婚,大学または大学院卒,なし,3698,あり,なし,携帯電話,5,3月,106,1,-1,0,不明,あり
41,兵庫,読書,労務職,独身,高卒,なし,81,なし,なし,携帯電話,19,11月,212,3,-1,0,不明,なし
36,宮城,音楽,サービス業,離婚または死別,大学または大学院卒,なし,58,あり,なし,携帯電話,28,7月,29,13,-1,0,不明,なし
23,宮城,ギャンブル,サービス業,既婚,小卒または中卒,なし,523,あり,あり,不明,19,5月,249,2,-1,0,不明,なし
36,愛知,写真,管理者,既婚,高卒,なし,465,あり,なし,不明,20,5月,160,1,-1,0,不明,なし
25,北海道,読書,労務職,独身,高卒,なし,543,あり,なし,携帯電話,15,5月,302,1,-1,0,不明,なし
30,東京,ボランティア,労務職,独身,小卒または中卒,なし,4009,あり,なし,不明,23,5月,260,4,-1,0,不明,なし
31,北海道,ギャンブル,マネージャー,既婚,大学または大学院卒,なし,527,あり,あり,携帯電話,15,5月,98,2,359,1,失敗,なし
38,北海道,ギャンブル,労務職,離婚または死別,高卒,なし,226,あり,なし,携帯電話,15,5月,167,4,-1,0,不明,なし
29,京都,投資,マネージャー,独身,大学または大学院卒,なし,92,なし,なし,携帯電話,2,3月,175,5,-1,0,不明,あり
31,京都,料理,家政婦,既婚,高卒,なし,243,あり,なし,携帯電話,23,9月,305,2,842,1,失敗,あり
62,京都,読書,退職,既婚,不明,なし,800,なし,なし,携帯電話,17,2月,737,1,-1,0,不明,あり
46,宮城,ボランティア,管理者,独身,高卒,なし,1693,あり,なし,携帯電話,25,1月,137,1,97,1,成功,なし
71,埼玉,ボランティア,退職,既婚,大学または大学院卒,なし,3561,なし,なし,固定電話,15,3月,577,7,-1,0,不明,あり
32,京都,写真,技術者,独身,高卒,なし,1279,あり,なし,不明,3,6月,1173,3,-1,0,不明,あり
34,京都,ボランティア,労務職,既婚,高卒,なし,1454,あり,なし,携帯電話,11,2月,231,2,297,2,失敗,あり
36,大阪,ボランティア,サービス業,独身,不明,なし,281,あり,なし,不明,16,5月,515,1,-1,0,不明,あり
44,愛知,ギャンブル,サービス業,離婚または死別,高卒,なし,496,あり,あり,不明,29,5月,54,15,-1,0,不明,なし
32,大阪,スポーツ,マネージャー,独身,大学または大学院卒,なし,520,なし,なし,携帯電話,3,2月,443,2,-1,0,不明,あり
29,兵庫,ゲーム,マネージャー,独身,大学または大学院卒,なし,765,なし,なし,携帯電話,16,11月,238,1,-1,0,不明,あり
29,京都,旅行,技術者,独身,高卒,なし,110,あり,なし,携帯電話,13,4月,1036,1,-1,0,不明,あり
38,埼玉,スポーツ,失業中,既婚,大学または大学院卒,なし,2812,あり,なし,携帯電話,30,4月,830,1,-1,0,不明,あり
29,大阪,音楽,技術者,独身,大学または大学院卒,なし,673,あり,なし,携帯電話,9,2月,835,3,-1,0,不明,あり
33,東京,ボランティア,サービス業,既婚,高卒,なし,450,あり,なし,不明,4,6月,121,4,-1,0,不明,なし
47,大阪,ボランティア,技術者,独身,高卒,なし,1101,あり,なし,携帯電話,23,7月,957,3,-1,0,不明,あり
70,愛知,ボランティア,マネージャー,既婚,大学または大学院卒,なし,1295,なし,なし,携帯電話,26,3月,698,1,-1,0,不明,なし
40,静岡,ギャンブル,労務職,離婚または死別,高卒,なし,701,なし,なし,不明,18,11月,159,1,-1,0,不明,なし
40,神奈川,投資,労務職,独身,高卒,なし,879,あり,あり,不明,8,5月,248,3,-1,0,不明,なし
28,京都,投資,家政婦,独身,大学または大学院卒,なし,19,なし,なし,携帯電話,17,4月,149,1,-1,0,不明,あり
45,東京,ボランティア,労務職,独身,小卒または中卒,なし,2121,なし,なし,携帯電話,21,11月,326,2,-1,0,不明,なし
32,京都,写真,管理者,既婚,大学または大学院卒,なし,653,なし,なし,携帯電話,2,6月,84,1,-1,0,不明,あり
32,大阪,写真,マネージャー,独身,高卒,なし,131,あり,あり,携帯電話,23,7月,1152,2,-1,0,不明,あり
52,東京,読書,マネージャー,独身,大学または大学院卒,なし,5728,あり,なし,携帯電話,21,11月,79,3,-1,0,不明,なし
44,兵庫,料理,マネージャー,既婚,大学または大学院卒,なし,423,なし,なし,携帯電話,12,3月,2330,5,-1,0,不明,あり
31,兵庫,写真,技術者,既婚,大学または大学院卒,なし,26,なし,あり,携帯電話,18,11月,419,1,127,6,その他,あり
35,北海道,ギャンブル,技術者,離婚または死別,高卒,なし,0,あり,なし,携帯電話,12,5月,183,6,-1,0,不明,なし
45,京都,ボランティア,マネージャー,既婚,大学または大学院卒,なし,876,なし,なし,不明,16,5月,178,1,-1,0,不明,なし
41,大阪,音楽,労務職,既婚,高卒,なし,338,あり,なし,不明,14,5月,87,1,-1,0,不明,なし
52,神奈川,読書,マネージャー,既婚,高卒,なし,428,あり,なし,不明,30,5月,153,1,-1,0,不明,なし
54,京都,ギャンブル,管理者,離婚または死別,高卒,なし,1693,なし,なし,携帯電話,30,4月,1277,1,87,2,その他,あり
78,京都,ギャンブル,退職,離婚または死別,小卒または中卒,なし,229,なし,なし,固定電話,22,10月,97,1,-1,0,不明,あり
36,宮城,投資,マネージャー,既婚,大学または大学院卒,なし,0,あり,なし,携帯電話,21,8月,90,8,-1,0,不明,なし
41,兵庫,写真,技術者,既婚,高卒,なし,501,あり,なし,不明,19,5月,579,5,-1,0,不明,あり
