ìäï[é“,à√çÜâªÇ≥ÇÍÇΩìäï[åãâ 
11,7432165457092624844826305273574592233291274270335404461380458016689419273241094156486460165382688273886539389722301140305558418182726191223109352277800514389267759837313913784146540507397074189651740454677021752557660790031173264087466281311003598604880314962887020629038723233323648585841909786696325117811856432524334621925478189425467009923628827595846411747480665391391539072114502357724500335207647286166077859309551292088297268574244764231264911395939601108858374183202899778016794429656494127905567101659004958549350150958531816794910248471423072431293709937034695832571598804091261901629244079733396144271881749983235757749549470729231247137170100316504015035623465398012159980336252734909880561354202210334693789416087158164664494682118668466475950596537218566324978829936411126423202984916365521920494977816137006110127638998198515076598845406239614407856965666443190010529752838576463069795694582981038609588430579806950298680485810038232975387861925762279995260468047484035199563559090236047412112218920791034755912104603067042995737407696828696014447508530075949324082486955276155660324264239988990151712318932946085819615115500832990058138694267501855592567003781548206028436678328664091100792407902362387577537385088
12,74540917977143937919286648038642255831974512980351544493702819547895256072579885734399839384478827273557150725768196448052007694435201424127390338926612272166368780559518018122064734154747255956183448717468059983242515173702229264406579841409360325839702513615244408655898511740670061900166144419218136915423373904334944950278659941635881647301034163477934437682795210467395857538344343205549773657311329555981805542403728119442487160658588633113653131305066193221515757114301828475673608042211899818913908353298235363600717512593036164559339279213752443796422184026921996492899629559858428463298504545163040196717166891370688723194347929551229356789807850293085433982389259049043515931783748997223500427624693839222217068688819437393690908542670666573176740967587152845261761957885588563706745072848931615837319915534356482528711619859849814740196864178616191407906005407482190025040576431657007111049176551672549316493381155587158421619518526013424940899133752955820065775579527130397560063168422957723956526011629563731330238602426169466511150985011391468793095242879067907914207162365831841963005822241740093546536444134376620679215013842969986583003020000284902379596404184575956792149526558206299942344883162915024177170684336
13,208190105207122414941054129017057370561576192286798840305103909840573655145370690189805445691334240484048222047200383036246792135994470033892316953889653862480371150441211163042321656185179077343547420533165000340133763987159161367560012031673029400056194822869264868836869702085465098409457388731122652154630917396755630991888142901171388150103324103169334085605363509942801283799625409086198865714508978705717677294126115260042843111244754087937836109108377069987974680409152381054226732776687552907310639302419058602669256924236142757069734430852895073732772279930318332302082985067552638106260919468221684749709115518008060230350880821016493783804790918879836052798881084512273932547245536455837988043920626316840097861842852905793861535910406809488390928057371834111653578736355636780305471418443772373424865177200738449149522266809414360920576311632612430881769051961447970086313061329260026747790454133986640725064488611536011842733391444288895184231662967527661942781860339856080504293904180929340529318171045795777198055520366620790469823179495448716324439972548455262630015986444052042373581769805767890582382848394341776861318379641897002866309793725854738383679857711579499084530458141341811352989912986715986522881264927
14,62800564232918139986945811923193536648488372003436075671844005634220966261645443032776516276065032961812272401116417133739748241892201346597479918722680833966662704914602412101254862649447359498984585154124312778972946928988487177973601707132172628260448346706863855766610270347811704036721577207195325958930752728993341127639780157316481764563717528129496165592782734172402247393762500426790177074519307109168149156494147753510377909302575225854154112250095637142753014999061387091988755049384484196641182666307559107500711516047454891118712536722531579427094557507765169427486383073770970527326248773427837171396490862652175318527511504877924633455791012308614913308953018857362891588999455231334739319732570399515869214546678024926225284547934071936249976644803345448784367981115486467775867999399188274949913971853783626584980056366994436526318502372409077642735883157853095153931943458797627880820357630171509890884087600116092829268536580732732580281128228811600248198921735839732828702581119681051793273071601754164325024852846954158721933069102820336644014612327572260845948873853318496337475770950287491045049942542233526565465318801911321808109493091482099298265072282986447119934079910188905675480535780105362820614267864
15,162225971394747149546237534709795361931761804302569408930163117801530586537425004074350639727317902447925170834418952486335599611356559447878864345654884421159922375457032290625329321281911300415757175548213476444503280577567166479800885968810067567366993433522257810015115314515725709810606486750995473481243377323412339724121305870182794152020704077331544168941360681170662301512746987231060642433246097778791939786063369576563036579280208410367542691744021634828763174899135022805085084796323541150289627180782498974682293886581280605803032070432802112333863684194741933832968749427202572873033246499810103943487688677098976418954330940676476765573239575590454659558433418507895426883259740167290968969096675279134220642312005721219863810024626237778472880879445371470353561790052317638914109153929207418946094667844538819441032214509533083259119167559921027759101280954122544362247983863150795176195820890417234972794864362802258167533662780292694439703238208235579326179082640840703791291645984852873538296787342510205974453685430013282761117075426366145432217213980705375089729512722202576716180182446188337441994897523078150748810935980654304177751251386171283003651394851838023722674818997872118169145715949910122437295898399
16,214944398955225758338470087347238290984797784273796486751493180597241465448594739275649696156754205654467818336422373344146442745842868618020594454058376865781235896838615101928973630638769586763050476762015436670883750309884115049818035299579535599360264170075205624779529325332856017744217881982854876833760540239626594865404632912411541716452446815245190635320284716203102210634503968638594798140179657841961037263788078372042340838404028998083638416822300030187223117557721886132237788054255054865206224291260077744512502903249343301677663285286395986256202463744283333823714991097606969700848221742764842903313710785977425950611010600279064357767300811833751099667905271211377090579724108708641497265953845778359092653839212534743848046156298465941305893405484994085368739460830707266738584402605736190675454697179136431548003283087174414044385112927326592278108230375778293177487300571672917037641756151347051897127725326315917455087751993124044354094275435884824964296212785250274953448071216048412420081680013350213676485084222996209965176327475057356096719964928454842667121064988915253668176530617046890770392683843358107754974682506073561578697772958971004941317567884633663748107415536135121121150747802680119503525303795
17,84882670646979339723192253309538454277012811566364447526690794803751048793703098069295034909727471369383363772900901519480716920731738326406780493882451158545215839830845953741219318873736041233310519279406085697048037655278809078576419738470979286584777168679163331844189001438622550229451231472328854921975580600558136009678025302107369543496955740134357482332260610119952995825877880879631687940583111787807472883460255916751279354711019723001942207739447806549673714451477022276856845364682442343857793079593342686921100934387359608879801365923678640097794396858193771477345422234995468613501687853438903805031408167625475720113572490687417078428131004004095498077846155521362339812975375948703306584901155120461071960661237885141018650710336618672579204250213877578773883424707053554072032326431900974013034879379367177289381930999977587086767231907640762851249105387722226605347119855896665021204861247701885025734173138537600217707085750768087103544885966979629781594146174363612263971598382641308433582270913891051503756083175291729675610264613539235838361314220984328391975973941197948437465729908801724576526259697103048080101234090733388377316943914329572415102051148083435213371929213769760958812512068610867860217576713
18,174580391462931269259071482549677149670507348920889623982084042266131112884628285749668212396164987726160341396121420481600931207046699351709095868993590611832871759493409649619904502957562894301817969217204778704548756151068033331592013422402125552103501454098973343993814829829432108057932468909850106032714332778968989221512576448507493979788386658237579056810123060431977165992533300118178654359786226852481217319741982174254821674559604496741277136869927642556344682320202342874761238889887585858946174825563940909117022788888313719615949711308875860280334575289188148345614502567964387542101810106297450684476032950213907336398272068809479197532468107544656934711559053447725389425106500122974731817952898622126297318192865740975604269082095558526692151973339734560092834893232355411943491948239746156445061825260243135477140555005531557468672613139611035713210288890491809197944657406772689818788937837742813695993823103654633852313043595238292658775627605781635173861017608557946191957192799507674988527760086513418259531525428248145439103643502389235815831275105171988167934795950009493703468347759037146383093374277966280118430110868743610838961131489551676374806302258523090765035616142269680214526116477604379260479276456
19,110129458978319196415922209464030335245226002784303132045080761762561129362754099626145119567900088103799858050354099276490872160587480552299996471449180271869031620263100853494285314485684373102432759242963581559379941397803413332369402920143093068956886836367093717064244049704424652087714900974305260443285186105511637315136790216484130116624781716250881541599053228760057620689841801589481636323835833397821646932438092538959021616319775664176462121598124676038175621639578165042149488731937847321213584296907989394707941672319526897422055602135119567772782732817673637224026143430759820430108263399484660412849229995112237385945580345704356809023074671004989641714566694211885119397965895237694866387046401262474918937318899510602696086780861499051474000352842289234319013328548831799099312585985493961652467521495759658306836891920320423881364884904759668226895878215859943570597612197014061840781612764490982256074929778647848214271365454717371575867170442543537035415558741237283264916173567566924976592829222551054191481821861326611950391933374195967858282108137433067983016822562550135597481699514300305788262879136263591081967457118899540228233868877007645015925564779629347335882138765261235270026738204973436970710969561
20,29094633968485103957961590282995035419394261033579184409294517939715510156479188611276525372040407518678696279394423489670078922560962443755995646188652889847800491754623461996661455719221689965654374609110037670112473559366661312785215350401895255481366388409623518482364164009195008854703808383760892225971226827761211849165814049911049875598924689069357504400688841557514753246178925303592700884970629727434029652169038595341116417974698625264210128121468582189806280874972107388962651061897119546242288885846178064890513069711925686358111366488489292300743026577133008804313657528070071252221031671840744512098244940725224358553113769454474364619848775419802696670039420770275898864435198268580066861186832148698121469299942952351547059830362162216284085833876793261041249634725738375596304368684737085318024003452996693300596373708330360072885580602237112878381438584723905133335084394164233078831875754490899069796266550164845004189012163676054491050886676300687906596800276073852003607496155650986182478628797675795415168212990339930345143188715497811909156542593963706908546740610911967506321758698043339432964775060012901381432635813520903644669260304147306352259060504280330130805217703889948082739929964837801704716808164
21,87571165157681724416612928224895001924250097745816702092507587549767586973342590433500923858270790566635847662012603599467440783622620546740919152264559128277103184361077156340603851943010019779459436365949534988063212564201097492960857123758074018280614823021058246422452920732703719145519720764614724300866483938804943973664235555875707601553142221527465239143948460673911134037441015969362129794227330965488974972582317966747558250296060238433792852086933267898214061585253312293938364798253923287582795416923521058844041452094378560949640880513616649535994072795946519431197562747185132343166614389761823436452897567882280901382440453342195190243910821055107153972381448383856161956525577269475730456051602503289850285138613867783207728394236725579365668726066757641228128481513351213038728118268889703388667309838238376949161059525612653573316211313958660275167266529965562631647442344763302343840580766946847508946990127585938822089570351282988899324568582336478918963481794171870307819082894521434244883385123743078321034754338607824879439827272649236585932942765935307196118792235566266615060554115112651729971482780529424536027624699777824189599254198212179068431488788460960826241288801468928120793661709937984606068686396
22,157291565076785154327283538217923397173849308999786361736273508566067952440623108033244103802415044827594477375474017326158838760684922373453668172505130943256676264333300489375163680290329577947224682474993093300109794441659686106473475271772539446914459255321542851139182732039416579085857364231644869507396979938038027512073541390555292471041534452247103938445989747208348186886098856780525273490685761731159974289238726846294787641624986890940109641152836070267003767597117589826840477161457512945573991227847906764943216472493171685056562472108525403735047860537631466284875567207031935034531634640515110495820262173051150905757986969766619078067699007446001675539928441932977240081220387948817811241114108634428995583787754356980112717175357113790879756899679076193488595641742356492198166327203546402310673791182390712565505354542647339136246155054018441958584055893446604648222844879805767991485744021117019041814039109369028404932178468365686960961769275322811558567167204262963435301093952036643212622712978204419602136328039815817707340236836850913738268997845977479277877097239709345744769008254349536773987512293874314141354175748037275867427495819058416912469917016317362835059928887752553367266752356889546442342437695
23,165843971365846912806579493556789965135864033148480109584402770370311392734939719196641160249098418521911919194374502902392846955421082188202112899684812282201522137203864059540371986691205787180813512250646407527015953316619958137369452839775458193742396656870820154048198327134312621748935792769422075687358708988434946609038542678014360834721917691470433157386190908685077189773971219285721686026606528913688230474798679423304620383609987692654485250610853430775056896391182657717898159915989986619938178518298610778150807623962316941896815080875692287991989324945508933740232415130811125728473536811311955070256021868913692698558945041564319664629786794270476067767480852056978111931382558843937469138698835681018821128889609201994680816133173540826650064226768778263443071416384573160670190324611997332384822027998397889851353934869612549743473633587644261384758649265980114686456266430766885733664329743150583904592097737130965529510738986155818265936153179969233265843330323233402898319523375413305283307997230148288078136952138934203407227666081954614475512736422691105413387546362047903069390732960837980915766314502144767675106830800494439521808815007142831268118673945972038805046722005380431812783658979932877013815382317
24,136818297344580545757693215824226320549385083414910717924860576211595652721970978991215669750111369231691016314693938288375850538084095102125597934033396614218843138432041605866747833662737202892938664717872198834013280117733939206975918081004722642931764029492406628061007675876664839995957510154226155817976795611527022438825495534835532658744098035817769807297345682012381118436573567608860767386699159931977092613415764629422587656781150474558607519164751042395804133243811487808038746856265443012562084264344918784287156562875419392535659355551930342654816521191375012868373858001911872280385046494595812661791888257999266647109142309921319776770277715628027939386225766927266342468697300885517115772788000402121463405031686919679374538446020545766167627350390956251466772826472937747880194708284759121994461560092184847886696674353579943710944364722966921679534304724227646896698886363933600651116676126915128402900833161355962796775003359161490394701515897621837042244554675103104053734411099547072500186970794232783511984978230465145816859100597157043868987886511184709281278254351533534353000474559418742624436509691252716720935853052696913412133297396490057205941807007844163378721138439270448603741191838758230317845179118
25,194104096543419082179289357770625310985658613897270438978104847138744101492849732057816565881371137433267957882455256346868207231265092913743535223719533356107971104059697899890090400299790480187900602523981332122834248434627865836147486701931439785494019530385179828157630822222806221614320754377449392529069382436471399147255463141138401000437721167441426856864471875179062816328706352930594843619754316901656987773455828016386900723417575046643015081868279239052725251318144428719946365800480784817868110336218868758394964442095065769429276821674553685478482733810589653133760008784594482182924532884113554898263818588709637989320579268003554573140057846191515037157279947620021218233993886522346337199886746213621068099746489115856239023712610252000361348987808811311082780760464416795444236360255309049072993407653832238173407406879273131283411815506424626692802882856259025307842792289925560887644874010716055962846439963861109151505973026615489365425394108027859222949728748761138521577174917421719725809652537198372142485560506623497146558504893433765047688907162819909945503416469662262822123951259900982346685673533850694550249625232438438688890083047575843943367425723680605721442753248722170976119490769946019129577314887
26,15021157919773608841564722844200810902570933132803483793768362706372922713858431677829467690422624731155877388729389324279752232325929289782635767009234863225285861865006178489992599054964293932766915780596033460991074164738672241709859253037394665533530628452824315280794536882583754496758439846768725231406583046559811134941458705692647423594783787743219934310675659370437604169014245553329584099415146313985239513452722525429757921275905136996805749389408953641647284555312721233763312146950598677214388864851509797791248900807852819342870196944998588080784036462549768306420280265467493847637155324389895757940342159328652226616362874498193722956698815241035417131520387347749363351484413054201692600532734579966012876930373126439868048546653908414491506722629652748772398976270777149252000585724850318798639381770471786232958216559537395388812895390888069081836222524917476734959287051273970250942041894408223559038992812456814251197261258133049132709378560996238329151384021539900175734854010852282219564454097137935466175774529412261458419896467712464985695665267919488966957872733185313040909615898392474510630754449008050180623051741125611450016033272913821531069696558535878902061844857850712575089994099149482075390507918
27,140947084731898045137140220596697792005204035501511729828762167081299906246132272512114780474211241879713981365576321448744547268649910475507547213347417785830614511695638991044439289422835934015050303162298864827866245393859444730358013289400797216381300961269528428000996613258312356798729994271543306201153895102011152773998753259989101770801415466546779204990811582164829599185625856095790421124958958354519483376226975873700060929663927158836452652338061332456828492131008232056483877223047457468903681716972204216258079782652571112652877813394311607015299452191453924705498851709143951292907441210700944861258376307404724333556063884614323966127146063126564106406602853442413281060050582932365453176308573974857325720513041530261083305545517177233326518141867439354404318233396425856703130377332717925281385738138408563296929483661133563089173638995227327150780196019585772432151622267119907265264595285341993591751903849798206211248026394266070948011960621986050038106103946731578205015791591465756863530787178775457604865286111182422612486135086434172932559714888754931312125699446583778341756463732190355252471136732843714404060725271186582444521795109621331252164086242674399912343798993191073359152880286080776247331891111
28,56488042108619707949227046066120608792611051822904893107067751185856455714236618871034831986744185316906144342250478777010425736245582107859586381558393711955285152038702724609268590440706536038749251613104658121122273829237279699378314286364623897133462822390364684050854521620702396946103315342856108165341930462764182234181302855844978026513137728942778496766886238966439868963966228195856489434844825259955325248206566908051256568137566198775624859708979066435881094134418447302925181001485223235979040520469743784031835741510810844706433373263904322195514757999439678605674769487028098732671866782534204086731003630918874463507825269168528214729434477854190270260918164466347195341222512395903909515442930086682033901260925040696734932331251659720624532615962816454353093205169525807038902276225972554086677789921948368415296621755460763228575882337521266543274548638123048947237424540644463372371157675547496708238853565007302861661872931864566871204156371970506011834486380319716496344758555870505383949557584319651302378392876273356200290893954652128975563667002156582193809845548435234902430261038682694149346533100456068189804746161112538705510999642094311236043247850891972265369657201012873902760013921235024832127661514
29,197868095974920208524224265979816857727693205017598201752095621428415458262030304815589636545117302481614451670340565059646866560009062837673662655767733813212088648384501390878233678043352495169221004884145845590272149822123955137648941198410180986220359372736425972694655226896289286935788715725582834038732859646400628937068120704958639321845578783717501919282873785044613737757016299528515620477824450466175695864868126533131589877420527364976278652860981379050843766639623006595541807572432548770379357548455047724301107327681031156126540645311102069884345828192430436912131623748891998918062221602869160965686230925975879981899168498207961579559754649847038081525952377728756777400690022878083444424314715247500689804010674196266102646569402407225036972224592974887469002660429723934430665922441831064969466236514584539856333195442334844446019630488746740530134636358985897830371941388900944589790724836154835319591038738571166872817952419995467627923927217197309648824896409776300806224110866360505704154463165425736298685532714463638070297139177011011760040436374554304647456707148931381593941056390146980461211096085759907296349946778000578502079403241315481970532400863206623678439907949493707325154694401373654832426305276
30,200105498294321066853345252954400019827263228153882574073789167243121229828642784870540159699048138876145205070636857425631731396891396490722545278281875148037690932121089047482796369453900076219840686182683701511445806787953767685431988489701339761344938319610580928613758731733531239242319669134974934754253601662341719768688506912440260158889653238340057599523185042856848745339202858485555107250702493842301687034762976183203940322107500760769903795810355105889502229955011948108491855484041123853890691723386470840770412758612505640456473846419932012112958112376646648173215392315595776593771074438086286831804428266188332449487581405794385071813738297139761015607412658365169506502140972197820034827142811753695247568774642550594222175259992909621373123289646578200285877312317385284946395830423883707322431300622248457747794443495412376943460099190868891081948780228391037271343875793702320999469755273302825627398331506079139168609725896488449362729758812750821794911378706054249508321914862404017588149588797522021686441542340604267282636176673070584925794888037853427042149746507822673708735761120334709089745538840629470470647692993499211014964412337250489455934321705225874171006012053683868164647082022367784030511417428
31,21992403354592939526806140828150477437896934994033342778668436003024423080491638180487531577087694622246324870913183473532255986436446811202860640258404512488575423688916798024317167412046683033140966861266936364508591416154919201190389422543684392930419161041273460343898046022855912684261788411023084759901923467157534092046258474150988107618043453202019460549885946431234455017034607906991770614624174734968536063697443255682266591903322386052454261087435596324703447602225206517675594333312057851114758744011629671334841599388639561656384354636723296168946353444214672030401928297273901956883684666821620512926257690793275483126324402540836668149802081446672599063796785700040952901848992771903340393430492363558090745732656724115071519440624823336367534274771410551032946755030717151489733076259891625339452790400888084178606374066293821407249423380173253511699861358986286858724620860406866404295947586447583254918232539774508462129552587104539769118042134285147680348427154216505847892787505219809507939963295814266724641464066119779293583658128856130581720290179669192476845563018236676623779154689822396807833249534532019626170586970912721707616675133638348329592516893710422580038580882582741456506965332657282041442149477
32,207085120608589937645660827741247136523635322119011439242616710324468325576997301254308037713915221796502221368340471014327347414590968541389384169635377851849585296506938117172002014699938063397387269771236502667535155903064231143824447731486183682376526652380748819251866493411737477844022697027844023251930291920752734135156051853972631875463994015352557357987464850565492644177381103214435045563385856943156512757496400164174661501250189664910350222764534837440808300631188814329363330024547328103523212317201138196350899206873328733188066259070089382484806469583012265923689772536010395891072159777364743671358656659437283531677465304633667216066874437775373473244207326336897062599510239286105577407818007883462676682208712256155766950588764234669393301025317248575387329721685333769630389538647505065815071318232030813761916901229903479766864873254720258388501804824827639570972568506618453243632172880624446934284231827830558850292298214730237081473146757035310291371916446997741699588142508652943916253188862385829284088694126702023696135736283263054625204016425263397479031081986063540184247705906998281512470704778373404705539983537506421277291959101252536515027907767797751006946755773389404105189532573345759917481479977
33,1705401055692079825626715180581579576885982825208729930787350005346329908612175490987549662076236955541428997249637722527789667192489040893949807805506292866959540999188966552535543889733070444358981282328074349523210245133369360996135938180615180006776271817905668036198684666120382776216480674398286479832765179339768818408206471955450343381715215456637725106404828935781622807683495609909421133392749397981119694913808388140014428868037101252691441568780562464251846322770605017808349788217962336646754470740536389287854034183208678418668155612515985494162429029062145120246081209536310718096678266472074757841202131790532877479935010741947652199769662537098701568476414038533377777286789869597200134276178267040260700251109725360956906399845741899249156165895358445728988686583981135410172488111676629844637565615958367594244406610794366645755362874197147678196379609377465076745644629498980320622321214602055669365970099084783157581172328446571950871441980240945449842894223826049568464411956741499322515382821491115799501393218645820217598257119092824898620358973730047166420444052783606680742227091908341273735208684980080670831572020743758206092544153980556049648738864445403343670595879790560760161977965086953123730106985
